Nro.,Fecha,Valor de la UFV
182,1 de Julio 2023,2.44297
183,2 de Julio 2023,2.44316
184,3 de Julio 2023,2.44335
185,4 de Julio 2023,2.44354
186,5 de Julio 2023,2.44373
187,6 de Julio 2023,2.44392
188,7 de Julio 2023,2.44411
189,8 de Julio 2023,2.44430
190,9 de Julio 2023,2.44449
191,10 de Julio 2023,2.44468
192,11 de Julio 2023,2.44486
193,12 de Julio 2023,2.44504
194,13 de Julio 2023,2.44522
195,14 de Julio 2023,2.44540
196,15 de Julio 2023,2.44558
197,16 de Julio 2023,2.44576
198,17 de Julio 2023,2.44594
199,18 de Julio 2023,2.44612
200,19 de Julio 2023,2.44630
201,20 de Julio 2023,2.44648
202,21 de Julio 2023,2.44666
203,22 de Julio 2023,2.44684
204,23 de Julio 2023,2.44702
205,24 de Julio 2023,2.44720
206,25 de Julio 2023,2.44738
207,26 de Julio 2023,2.44756
208,27 de Julio 2023,2.44774
209,28 de Julio 2023,2.44792
210,29 de Julio 2023,2.44810
211,30 de Julio 2023,2.44828
212,31 de Julio 2023,2.44846
213,1 de Agosto 2023,2.44864
214,2 de Agosto 2023,2.44882
215,3 de Agosto 2023,2.44900
216,4 de Agosto 2023,2.44918
217,5 de Agosto 2023,2.44936
218,6 de Agosto 2023,2.44954
219,7 de Agosto 2023,2.44972
220,8 de Agosto 2023,2.44990
221,9 de Agosto 2023,2.45008
222,10 de Agosto 2023,2.45026
223,11 de Agosto 2023,2.45044
224,12 de Agosto 2023,2.45062
225,13 de Agosto 2023,2.45080
226,14 de Agosto 2023,2.45098
227,15 de Agosto 2023,2.45116
228,16 de Agosto 2023,2.45134
229,17 de Agosto 2023,2.45152
230,18 de Agosto 2023,2.45170
231,19 de Agosto 2023,2.45188
232,20 de Agosto 2023,2.45206
233,21 de Agosto 2023,2.45224
234,22 de Agosto 2023,2.45242
235,23 de Agosto 2023,2.45260
236,24 de Agosto 2023,2.45278
237,25 de Agosto 2023,2.45296
238,26 de Agosto 2023,2.45314
239,27 de Agosto 2023,2.45332
240,28 de Agosto 2023,2.45350
241,29 de Agosto 2023,2.45368
242,30 de Agosto 2023,2.45386
243,31 de Agosto 2023,2.45404
244,1 de Septiembre 2023,2.45422
245,2 de Septiembre 2023,2.45440
246,3 de Septiembre 2023,2.45458
247,4 de Septiembre 2023,2.45476
248,5 de Septiembre 2023,2.45494
249,6 de Septiembre 2023,2.45512
250,7 de Septiembre 2023,2.45530
251,8 de Septiembre 2023,2.45548
252,9 de Septiembre 2023,2.45566
253,10 de Septiembre 2023,2.45584
254,11 de Septiembre 2023,2.45605
255,12 de Septiembre 2023,2.45626
256,13 de Septiembre 2023,2.45647
257,14 de Septiembre 2023,2.45668
258,15 de Septiembre 2023,2.45689
259,16 de Septiembre 2023,2.45710
260,17 de Septiembre 2023,2.45731
261,18 de Septiembre 2023,2.45752
262,19 de Septiembre 2023,2.45773
263,20 de Septiembre 2023,2.45794
264,21 de Septiembre 2023,2.45815
265,22 de Septiembre 2023,2.45836
266,23 de Septiembre 2023,2.45857
267,24 de Septiembre 2023,2.45878
268,25 de Septiembre 2023,2.45899
269,26 de Septiembre 2023,2.45920
270,27 de Septiembre 2023,2.45941
271,28 de Septiembre 2023,2.45962
272,29 de Septiembre 2023,2.45983
273,30 de Septiembre 2023,2.46004
274,1 de Octubre 2023,2.46024
275,2 de Octubre 2023,2.46044
276,3 de Octubre 2023,2.46064
277,4 de Octubre 2023,2.46084
278,5 de Octubre 2023,2.46104
279,6 de Octubre 2023,2.46124
280,7 de Octubre 2023,2.46144
281,8 de Octubre 2023,2.46164
282,9 de Octubre 2023,2.46184
283,10 de Octubre 2023,2.46204
284,11 de Octubre 2023,2.46223
285,12 de Octubre 2023,2.46242
286,13 de Octubre 2023,2.46261
287,14 de Octubre 2023,2.46280
288,15 de Octubre 2023,2.46299
289,16 de Octubre 2023,2.46318
290,17 de Octubre 2023,2.46337
291,18 de Octubre 2023,2.46356
292,19 de Octubre 2023,2.46375
293,20 de Octubre 2023,2.46394
294,21 de Octubre 2023,2.46413
295,22 de Octubre 2023,2.46432
296,23 de Octubre 2023,2.46451
297,24 de Octubre 2023,2.46470
298,25 de Octubre 2023,2.46489
299,26 de Octubre 2023,2.46508
300,27 de Octubre 2023,2.46527
301,28 de Octubre 2023,2.46546
302,29 de Octubre 2023,2.46565
303,30 de Octubre 2023,2.46584
304,31 de Octubre 2023,2.46603
305,1 de Noviembre 2023,2.46622
306,2 de Noviembre 2023,2.46641
307,3 de Noviembre 2023,2.46660
308,4 de Noviembre 2023,2.46679
309,5 de Noviembre 2023,2.46698
310,6 de Noviembre 2023,2.46717
311,7 de Noviembre 2023,2.46736
312,8 de Noviembre 2023,2.46755
313,9 de Noviembre 2023,2.46774
314,10 de Noviembre 2023,2.46793
315,11 de Noviembre 2023,2.46807
316,12 de Noviembre 2023,2.46821
317,13 de Noviembre 2023,2.46835
318,14 de Noviembre 2023,2.46849
319,15 de Noviembre 2023,2.46863
320,16 de Noviembre 2023,2.46877
321,17 de Noviembre 2023,2.46891
322,18 de Noviembre 2023,2.46905
323,19 de Noviembre 2023,2.46919
324,20 de Noviembre 2023,2.46933
325,21 de Noviembre 2023,2.46947
326,22 de Noviembre 2023,2.46961
327,23 de Noviembre 2023,2.46975
328,24 de Noviembre 2023,2.46989
329,25 de Noviembre 2023,2.47003
330,26 de Noviembre 2023,2.47017
331,27 de Noviembre 2023,2.47031
332,28 de Noviembre 2023,2.47045
333,29 de Noviembre 2023,2.47059
334,30 de Noviembre 2023,2.47073
335,1 de Diciembre 2023,2.47087
336,2 de Diciembre 2023,2.47101
337,3 de Diciembre 2023,2.47115
338,4 de Diciembre 2023,2.47129
339,5 de Diciembre 2023,2.47143
340,6 de Diciembre 2023,2.47157
341,7 de Diciembre 2023,2.47171
342,8 de Diciembre 2023,2.47185
343,9 de Diciembre 2023,2.47199
344,10 de Diciembre 2023,2.47213
345,11 de Diciembre 2023,2.47224
346,12 de Diciembre 2023,2.47235
347,13 de Diciembre 2023,2.47246
348,14 de Diciembre 2023,2.47257
349,15 de Diciembre 2023,2.47268
350,16 de Diciembre 2023,2.47279
351,17 de Diciembre 2023,2.47290
352,18 de Diciembre 2023,2.47301
353,19 de Diciembre 2023,2.47312
354,20 de Diciembre 2023,2.47323
355,21 de Diciembre 2023,2.47334
